Hour Ending,SOUTH
1/23/2021 20:00:00,3029.548973
1/23/2021 21:00:00,2976.063734
1/23/2021 22:00:00,2910.962595
1/23/2021 23:00:00,2810.71439
1/24/2021 0:00:00,2698.908671
1/24/2021 1:00:00,2569.767311
1/24/2021 2:00:00,2456.717014
1/24/2021 3:00:00,2378.168865
1/24/2021 4:00:00,2323.370649
1/24/2021 5:00:00,2299.671118
1/24/2021 6:00:00,2308.545745
1/24/2021 7:00:00,2359.235658
1/24/2021 8:00:00,2413.998444
1/24/2021 9:00:00,2521.929395
1/24/2021 10:00:00,2706.112047
1/24/2021 11:00:00,2852.018237
1/24/2021 12:00:00,2987.547064
1/24/2021 13:00:00,3093.501402
1/24/2021 14:00:00,3167.515277
1/24/2021 15:00:00,3234.707144
1/24/2021 16:00:00,3261.694758
1/24/2021 17:00:00,3233.376172
1/24/2021 18:00:00,3187.452612
1/24/2021 19:00:00,3288.239043
1/24/2021 20:00:00,3314.961513
1/24/2021 21:00:00,3253.033765
1/24/2021 22:00:00,3172.147734
1/24/2021 23:00:00,3025.086312
1/25/2021 0:00:00,2830.48165
1/25/2021 1:00:00,2677.96029
1/25/2021 2:00:00,2546.841161
1/25/2021 3:00:00,2458.453346
1/25/2021 4:00:00,2417.114034
1/25/2021 5:00:00,2414.197392
1/25/2021 6:00:00,2515.484858
1/25/2021 7:00:00,2711.791654
1/25/2021 8:00:00,2840.961987
1/25/2021 9:00:00,2921.482727
1/25/2021 10:00:00,3052.034868
1/25/2021 11:00:00,3172.194662
1/25/2021 12:00:00,3311.801134
1/25/2021 13:00:00,3455.878503
1/25/2021 14:00:00,3583.661089
1/25/2021 15:00:00,3663.726267
1/25/2021 16:00:00,3694.347345
1/25/2021 17:00:00,3653.400844
1/25/2021 18:00:00,3519.140724
1/25/2021 19:00:00,3527.685807
1/25/2021 20:00:00,3475.09672
1/25/2021 21:00:00,3339.397942
1/25/2021 22:00:00,3189.530775
1/25/2021 23:00:00,2976.877991
1/26/2021 0:00:00,2736.94607
1/26/2021 1:00:00,2549.463799
1/26/2021 2:00:00,2406.784066
1/26/2021 3:00:00,2323.935425
1/26/2021 4:00:00,2270.248711
1/26/2021 5:00:00,2274.29484
1/26/2021 6:00:00,2380.979531
1/26/2021 7:00:00,2603.850087
1/26/2021 8:00:00,2731.926363
1/26/2021 9:00:00,2800.868305
1/26/2021 10:00:00,2857.919926
1/26/2021 11:00:00,2953.929181
1/26/2021 12:00:00,3118.919732
1/26/2021 13:00:00,3290.81079
1/26/2021 14:00:00,3472.040884
1/26/2021 15:00:00,3626.999712
1/26/2021 16:00:00,3691.545237
1/26/2021 17:00:00,3665.976348
1/26/2021 18:00:00,3535.423829
1/26/2021 19:00:00,3544.504399
1/26/2021 20:00:00,3478.939895
1/26/2021 21:00:00,3336.951157
1/26/2021 22:00:00,3181.495732
1/26/2021 23:00:00,2971.389943
1/27/2021 0:00:00,2721.117269
1/27/2021 1:00:00,2559.598149
1/27/2021 2:00:00,2458.599245
1/27/2021 3:00:00,2377.373136
1/27/2021 4:00:00,2328.871497
1/27/2021 5:00:00,2329.340725
1/27/2021 6:00:00,2436.126103
1/27/2021 7:00:00,2690.610169
1/27/2021 8:00:00,2811.463138
1/27/2021 9:00:00,2825.725116
1/27/2021 10:00:00,2847.53865
1/27/2021 11:00:00,2852.047947
1/27/2021 12:00:00,2885.541587
1/27/2021 13:00:00,2904.604051
1/27/2021 14:00:00,2919.721975
1/27/2021 15:00:00,2940.444058
1/27/2021 16:00:00,2963.442823
1/27/2021 17:00:00,2976.420663
1/27/2021 18:00:00,2943.304304
1/27/2021 19:00:00,3074.865037
1/27/2021 20:00:00,3103.703636
1/27/2021 21:00:00,3057.808638
1/27/2021 22:00:00,2979.883715
1/27/2021 23:00:00,2842.364114
1/28/2021 0:00:00,2678.704307
1/28/2021 1:00:00,2560.503014
1/28/2021 2:00:00,2496.074489
1/28/2021 3:00:00,2477.457343
1/28/2021 4:00:00,2498.701924
1/28/2021 5:00:00,2579.8766
1/28/2021 6:00:00,2781.6291
1/28/2021 7:00:00,3133.805963
1/28/2021 8:00:00,3374.772402
1/28/2021 9:00:00,3390.680634
1/28/2021 10:00:00,3300.472737
1/28/2021 11:00:00,3169.026634
1/28/2021 12:00:00,3056.806446
1/28/2021 13:00:00,2965.947911
1/28/2021 14:00:00,2913.564522
1/28/2021 15:00:00,2897.682288
1/28/2021 16:00:00,2889.572376
1/28/2021 17:00:00,2885.574122
1/28/2021 18:00:00,2885.414147
1/28/2021 19:00:00,3084.549512
1/28/2021 20:00:00,3177.76031
1/28/2021 21:00:00,3169.535969
1/28/2021 22:00:00,3108.78121
1/28/2021 23:00:00,2972.585942
1/29/2021 0:00:00,2801.662721
1/29/2021 1:00:00,2644.987601
1/29/2021 2:00:00,2564.83827
1/29/2021 3:00:00,2529.951456
1/29/2021 4:00:00,2531.749437
1/29/2021 5:00:00,2596.638179
1/29/2021 6:00:00,2753.175428
1/29/2021 7:00:00,3027.889868
1/29/2021 8:00:00,3162.088169
1/29/2021 9:00:00,3120.843257
1/29/2021 10:00:00,3013.006589
1/29/2021 11:00:00,2935.496619
1/29/2021 12:00:00,2898.290279
1/29/2021 13:00:00,2874.196465
1/29/2021 14:00:00,2873.325736
1/29/2021 15:00:00,2897.305372
1/29/2021 16:00:00,2913.468083
1/29/2021 17:00:00,2893.939411
1/29/2021 18:00:00,2868.765444
1/29/2021 19:00:00,2970.009114
1/29/2021 20:00:00,2980.204198
1/29/2021 21:00:00,2919.342356
1/29/2021 22:00:00,2851.992161
1/29/2021 23:00:00,2752.331079
1/30/2021 0:00:00,2621.219683
1/30/2021 1:00:00,2479.411942
1/30/2021 2:00:00,2376.121049
1/30/2021 3:00:00,2299.107579
1/30/2021 4:00:00,2258.293643
1/30/2021 5:00:00,2257.295031
1/30/2021 6:00:00,2285.396808
1/30/2021 7:00:00,2357.566108
1/30/2021 8:00:00,2422.124028
1/30/2021 9:00:00,2545.302044
1/30/2021 10:00:00,2707.734714
1/30/2021 11:00:00,2864.634426
1/30/2021 12:00:00,2999.733577
1/30/2021 13:00:00,3125.753385
1/30/2021 14:00:00,3243.965725
1/30/2021 15:00:00,3353.967741
1/30/2021 16:00:00,3454.716037
1/30/2021 17:00:00,3493.388209
1/30/2021 18:00:00,3380.026891
1/30/2021 19:00:00,3323.023696
1/30/2021 20:00:00,3275.513583
1/30/2021 21:00:00,3148.794599
1/30/2021 22:00:00,3031.312368
1/30/2021 23:00:00,2900.93498
1/31/2021 0:00:00,2757.44441
1/31/2021 1:00:00,2610.832329
1/31/2021 2:00:00,2480.802436
1/31/2021 3:00:00,2401.548233
1/31/2021 4:00:00,2354.329539
1/31/2021 5:00:00,2329.894319
1/31/2021 6:00:00,2325.357996
1/31/2021 7:00:00,2371.174665
1/31/2021 8:00:00,2398.466637
1/31/2021 9:00:00,2497.027741
1/31/2021 10:00:00,2637.284123
1/31/2021 11:00:00,2747.963187
1/31/2021 12:00:00,2829.624659
1/31/2021 13:00:00,2886.291756
