Hour Ending,SCENT
1/29/2021 11:00:00,6929.46138
1/29/2021 12:00:00,6516.784407
1/29/2021 13:00:00,6205.83185
1/29/2021 14:00:00,5996.951961
1/29/2021 15:00:00,5857.960149
1/29/2021 16:00:00,5828.71227
1/29/2021 17:00:00,5866.835721
1/29/2021 18:00:00,6026.087792
1/29/2021 19:00:00,6296.600197
1/29/2021 20:00:00,6246.357198
1/29/2021 21:00:00,6076.959973
1/29/2021 22:00:00,5898.22247
1/29/2021 23:00:00,5607.611354
1/30/2021 0:00:00,5302.756321
1/30/2021 1:00:00,5032.699404
1/30/2021 2:00:00,4831.034776
1/30/2021 3:00:00,4717.30019
1/30/2021 4:00:00,4657.839277
1/30/2021 5:00:00,4672.996578
1/30/2021 6:00:00,4755.683078
1/30/2021 7:00:00,4970.392362
1/30/2021 8:00:00,5243.107141
1/30/2021 9:00:00,5495.220515
1/30/2021 10:00:00,5711.764648
1/30/2021 11:00:00,5831.777183
1/30/2021 12:00:00,5916.702898
1/30/2021 13:00:00,5818.225987
1/30/2021 14:00:00,5631.825359
1/30/2021 15:00:00,5623.456595
1/30/2021 16:00:00,5714.917258
1/30/2021 17:00:00,5856.861691
1/30/2021 18:00:00,5953.785548
1/30/2021 19:00:00,6146.346037
1/30/2021 20:00:00,6104.899285
1/30/2021 21:00:00,5888.817495
1/30/2021 22:00:00,5642.169407
1/30/2021 23:00:00,5371.445445
1/31/2021 0:00:00,5113.929056
1/31/2021 1:00:00,4874.6817
1/31/2021 2:00:00,4721.913005
1/31/2021 3:00:00,4654.952433
1/31/2021 4:00:00,4681.006102
1/31/2021 5:00:00,4735.071825
1/31/2021 6:00:00,4938.29808
1/31/2021 7:00:00,5243.476929
1/31/2021 8:00:00,5549.229361
1/31/2021 9:00:00,5750.527764
1/31/2021 10:00:00,5813.929709
1/31/2021 11:00:00,5722.245822
1/31/2021 12:00:00,5639.486062
1/31/2021 13:00:00,5533.953736
