Hour Ending,NCENT
1/24/2021 10:00:00,11376.203876
1/24/2021 11:00:00,11603.814417
1/24/2021 12:00:00,11770.676385
1/24/2021 13:00:00,11869.066086
1/24/2021 14:00:00,11793.16592
1/24/2021 15:00:00,11726.79162
1/24/2021 16:00:00,11675.858264
1/24/2021 17:00:00,11726.068891
1/24/2021 18:00:00,12069.95632
1/24/2021 19:00:00,12315.377838
1/24/2021 20:00:00,12176.329218
1/24/2021 21:00:00,11832.958398
1/24/2021 22:00:00,11341.087453
1/24/2021 23:00:00,10538.897945
1/25/2021 0:00:00,9757.71491
1/25/2021 1:00:00,9145.572841
1/25/2021 2:00:00,8750.365085
1/25/2021 3:00:00,8574.931961
1/25/2021 4:00:00,8555.822692
1/25/2021 5:00:00,8810.911325
1/25/2021 6:00:00,9570.984908
1/25/2021 7:00:00,10822.568183
1/25/2021 8:00:00,11753.979578
1/25/2021 9:00:00,11996.573827
1/25/2021 10:00:00,12038.185831
1/25/2021 11:00:00,12067.569029
1/25/2021 12:00:00,11976.223263
1/25/2021 13:00:00,11826.803688
1/25/2021 14:00:00,11659.269496
1/25/2021 15:00:00,11442.120329
1/25/2021 16:00:00,11303.357163
1/25/2021 17:00:00,11310.722649
1/25/2021 18:00:00,11519.177469
1/25/2021 19:00:00,12148.197028
1/25/2021 20:00:00,12078.475043
1/25/2021 21:00:00,11955.222398
1/25/2021 22:00:00,11576.668418
1/25/2021 23:00:00,10949.881897
1/26/2021 0:00:00,10374.331177
1/26/2021 1:00:00,10114.305681
1/26/2021 2:00:00,9993.992879
1/26/2021 3:00:00,10107.950581
1/26/2021 4:00:00,10323.985998
1/26/2021 5:00:00,10883.650034
1/26/2021 6:00:00,11916.804942
1/26/2021 7:00:00,13588.279854
1/26/2021 8:00:00,14652.124497
1/26/2021 9:00:00,14675.169823
1/26/2021 10:00:00,14279.144919
1/26/2021 11:00:00,13769.60128
1/26/2021 12:00:00,13190.962195
1/26/2021 13:00:00,12691.590292
1/26/2021 14:00:00,12173.987667
1/26/2021 15:00:00,11755.661505
1/26/2021 16:00:00,11492.957034
1/26/2021 17:00:00,11546.991938
1/26/2021 18:00:00,11926.148204
1/26/2021 19:00:00,12858.299411
1/26/2021 20:00:00,13039.539285
1/26/2021 21:00:00,13023.547851
1/26/2021 22:00:00,12721.714834
1/26/2021 23:00:00,12139.110507
1/27/2021 0:00:00,11526.433446
1/27/2021 1:00:00,11035.119613
1/27/2021 2:00:00,10789.227373
1/27/2021 3:00:00,10693.008841
1/27/2021 4:00:00,10824.802522
1/27/2021 5:00:00,11257.967182
1/27/2021 6:00:00,12373.74866
1/27/2021 7:00:00,14039.296594
1/27/2021 8:00:00,15188.49474
1/27/2021 9:00:00,15124.548194
1/27/2021 10:00:00,14711.607561
1/27/2021 11:00:00,14255.374492
1/27/2021 12:00:00,13776.750214
1/27/2021 13:00:00,13339.398119
1/27/2021 14:00:00,12949.386174
1/27/2021 15:00:00,12564.101214
1/27/2021 16:00:00,12371.529986
1/27/2021 17:00:00,12552.20561
1/27/2021 18:00:00,13283.845285
1/27/2021 19:00:00,14467.300155
1/27/2021 20:00:00,14718.722858
1/27/2021 21:00:00,14762.218723
1/27/2021 22:00:00,14529.230522
1/27/2021 23:00:00,13997.022131
1/28/2021 0:00:00,13492.959852
1/28/2021 1:00:00,13259.652914
1/28/2021 2:00:00,13315.476685
1/28/2021 3:00:00,13516.516893
1/28/2021 4:00:00,13774.363474
1/28/2021 5:00:00,14418.50171
1/28/2021 6:00:00,15595.146512
1/28/2021 7:00:00,17210.919557
1/28/2021 8:00:00,18089.164561
1/28/2021 9:00:00,17760.648632
1/28/2021 10:00:00,16886.964731
1/28/2021 11:00:00,15879.566898
1/28/2021 12:00:00,14983.476732
1/28/2021 13:00:00,14135.478777
1/28/2021 14:00:00,13503.500673
1/28/2021 15:00:00,13108.466225
1/28/2021 16:00:00,12893.821341
1/28/2021 17:00:00,12876.292834
1/28/2021 18:00:00,13435.270168
1/28/2021 19:00:00,14565.844154
1/28/2021 20:00:00,14807.038226
1/28/2021 21:00:00,14744.204101
1/28/2021 22:00:00,14478.528139
1/28/2021 23:00:00,13764.949218
1/29/2021 0:00:00,13128.190634
1/29/2021 1:00:00,12781.459443
1/29/2021 2:00:00,12550.406762
1/29/2021 3:00:00,12583.224302
1/29/2021 4:00:00,12770.031521
1/29/2021 5:00:00,13310.67216
1/29/2021 6:00:00,14242.845915
1/29/2021 7:00:00,15663.886577
1/29/2021 8:00:00,16395.320461
1/29/2021 9:00:00,16091.976631
1/29/2021 10:00:00,15431.339912
1/29/2021 11:00:00,14595.608717
1/29/2021 12:00:00,13777.545092
1/29/2021 13:00:00,13048.345377
1/29/2021 14:00:00,12617.21032
1/29/2021 15:00:00,12221.976411
1/29/2021 16:00:00,11913.403376
1/29/2021 17:00:00,11813.411291
1/29/2021 18:00:00,12177.617985
1/29/2021 19:00:00,12727.228896
1/29/2021 20:00:00,12592.050898
1/29/2021 21:00:00,12378.152913
1/29/2021 22:00:00,12051.857714
1/29/2021 23:00:00,11523.511313
1/30/2021 0:00:00,11001.240734
1/30/2021 1:00:00,10434.590351
1/30/2021 2:00:00,10097.989608
1/30/2021 3:00:00,9941.867172
1/30/2021 4:00:00,9861.376421
1/30/2021 5:00:00,9958.351338
1/30/2021 6:00:00,10163.762346
1/30/2021 7:00:00,10615.203182
1/30/2021 8:00:00,11147.251376
1/30/2021 9:00:00,11675.697059
1/30/2021 10:00:00,12049.992492
1/30/2021 11:00:00,12041.365973
1/30/2021 12:00:00,11642.510338
1/30/2021 13:00:00,11301.077124
1/30/2021 14:00:00,10941.943926
1/30/2021 15:00:00,10704.25413
1/30/2021 16:00:00,10534.338252
1/30/2021 17:00:00,10519.675193
1/30/2021 18:00:00,10647.864749
1/30/2021 19:00:00,11104.245626
1/30/2021 20:00:00,11039.309357
